CONNECTEUR_A;VOIES_A;POINT_TEST_A;CONNECTEUR_B;VOIES_B;POINT_TEST_B;TYPE_TEST;POINT_LED;COMMENTAIRE
CN1;1;1;CN2;1;12;PC;1;1C-6A
CN1;2;49;CN2;2;54;PC;2;25C-27-A
CN1;3;39;CN2;3;38;PC;3;20C-19A
