CONNECTEUR_A;VOIES_A;POINT_TEST_A;CONNECTEUR_B;VOIES_B;POINT_TEST_B;TYPE_TEST;POINT_LED;COMMENTAIRE
CN4;1;32;CN5;1;26;PC;4;BLEU
CN4;2;12;CN5;2;64;PC;5;GRIS
