CONNECTEUR_A;VOIES_A;POINT_TEST_A;CONNECTEUR_B;VOIES_B;POINT_TEST_B;TYPE_TEST;POINT_LED_A;POINT_LED_B;COMMENTAIRE
CN1;1;12;CN4;1;48;PC;49;1;BLANC
CN1;2;10;CN10;1;66;PC;59;1;ROSE
CN1;3;8;CN7;2;60;PC;58;1;MARRON
CN1;4;6;CN5;2;54;PC;57;1;BIEGE
CN1;5;4;CN8;2;80;PC;8;1;VERT
CN1;6;2;CN9;2;86;PC;6;1;JAUNE
CN1;7;20;CN3;1;29;PC;61;1;EP1 JAUNE 
CN1;7;20;CN11;1;96;PC;57;1;EP1 BLANC
CN1;7;20;CN7;1;62;PC;58;1;EP1 ORANGE
CN1;7;20;CN5;1;58;PC;57;1;EP1 ROSE
CN1;7;20;CN9;1;90;PC;6;1;REP1 VERT
CN1;7;20;CN8;1;82;PC;8;1;EP1 MARRON
CN1;8;18;CN3;3;33;PC;57;1;EP2 VERT
CN1;8;18;CN11;3;92;PC;57;1;EP2 BEIGE
CN1;8;18;CN7;3;64;PC;58;1;EP2 NOIR
CN1;8;18;CN5;3;56;PC;57;1;EP2 JAUNE
CN1;8;18;CN9;3;88;PC;6;1;EP2 BLANC
CN1;8;18;CN8;3;84;PC;8;1;EP2 VIOLET
CN1;9;16;CN4;2;46;PC;57;1;VERT JAUNE
CN1;10;14;CN10;2;68;PC;57;1;VERT JAUNE
CN2;3;23;CN3;2;31;PC;57;1;BLANC
CN2;6;5;CN2;8;9;PC;57;1;SHUNT
CN2;4;11;CN11;2;94;PC;57;1;VIOLET
CN2;5;19;CN2;7;17;PC;57;1;SHUNT
VE1;1;24;VE2;2;22;PNC;1;1;Verouillage CN1
VE2;1;3;VE3;2;27;PNC;1;1;Verouillage CN2
AG0;1;26;AG0;2;28;PC;1;0;AGRAFE 1-10V 
AG10VG;1;15;AG10VG;2;25;PC;15;0;AGRAFE 2-10V
AG12;1;127;AG12;2;125;PC;21;0;AGRAFE12
AG11;1;123;AG11;2;121;PC;17;0;AGRAFE11
AG10;1;119;AG10;2;117;PC;63;0;AGRAFE10
AG9;1;113;AG9;2;115;PC;22;0;AGRAFE9
AG8;1;109;AG8;2;111;PC;5;0;AGRAFE8
AG7;1;105;AG7;2;107;PC;17;0;AGRAFE7
AG6;1;101;AG6;2;103;PC;1;0;AGRAFE6
AG5;1;97;AG5;2;99;PC;1;0;AGRAFE5
AG4;1;95;AG4;2;93;PC;1;0;AGRAFE4
AG3;1;89;AG3;2;91;PC;1;0;AGRAFE3
AG2;1;85;AG2;2;87;PC;1;0;AGRAFE2
AG1;1;83;AG1;2;81;PC;1;0;AGRAFE1


