CONNECTEUR_A;VOIES_A;POINT_TEST_A;CONNECTEUR_B;VOIES_B;POINT_TEST_B;TYPE_TEST;POINT_LED_A;POINT_LED_B;COMMENTAIRE
CN1;2;18;CN3;1;52;PC;49;1;MARRON
CN1;3;16;CN2;1;48;PC;59;1;BLANC
CN1;4;14;CN4;1;68;PC;61;1;NOIR
CN1;5;12;CN5;1;72;PC;57;1;ROSE
CN1;6;10;CN2;2;46;PC;59;1;EP1 JAUNE VERT
CN1;6;10;CN3;2;50;PC;49;1;EP1 JAUNE VERT
CN1;6;10;CN4;2;66;PC;61;1;EP1 JAUNE VERT
CN1;6;10;CN5;2;70;PC;57;1;EP1 JAUNE VERT
AG0;1;28;AG0;2;26;PC;1;0;AGRAFE 10V BLEU
AG1;1;101;AG1;2;1;PC;103;0;AGRAFE1
AG2;1;105;AG2;2;107;PC;21;0;AGRAFE2
AG3;1;109;AG3;2;111;PC;17;0;AGRAFE3
AG4;1;113;AG4;2;115;PC;63;0;AGRAFE4
AG5;1;117;AG5;2;119;PC;22;0;AGRAFE5
AG6;1;123;AG6;2;121;PC;5;0;AGRAFE6
AG7;1;125;AG7;2;127;PC;17;0;AGRAFE7
