CONNECTEUR_A;VOIES_A;POINT_TEST_A;CONNECTEUR_B;VOIES_B;POINT_TEST_B;TYPE_TEST;POINT_LED;COMMENTAIRE
CN9;1;34;CN2;7;21;PC;L9;EP1 CABLE NOIR
CN9;1;34;CN5;1;31;PC;L9;EP1 CABLE ORANGE
CN9;1;34;CN3;1;32;PC;L9;EP1 CABLE JAUNE
CN9;2;30;CN2;6;20;PC;L9;CABLE JAUNE
CN9;3;38;CN10;3;40;PC;L9;EP2 CABLE BEIGE
CN9;3;38;CN8;3;39;PC;L9;EP2 CABLE VIOLET
CN9;3;38;CN7;3;37;PC;L9;EP2 CABLE JAUNE
CN9;3;38;CN2;8;22;PC;L9;EP2 CABLE MARRON
CN9;3;38;CN5;3;41;PC;L9;EP2 CABLE NOIR
CN9;3;38;CN3;3;42;PC;L9;EP2 CABLE VERT
CN10;1;36;CN8;1;35;PC;L10;EP1 CABLE MARRON
CN10;1;36;CN9;1;34;PC;L10;EP1 CABLE VERT
CN10;1;36;CN7;1;33;PC;L10;EP1 CABLE ROSE
CN10;1;36;CN3;1;32;PC;L10;EP1 CABLE JAUNE
CN10;1;36;CN5;1;31;PC;L10;EP1 CABLE ORANGE
CN10;1;36;CN2;7;21;PC;L10;EP1 CABLE NOIR
CN10;2;11;CN1;4;4;PC;L10;CABLE VIOLET
CN10;3;40;CN7;3;37;PC;L10;EP2 CABLE JAUNE
CN10;3;40;CN9;3;38;PC;L10;EP2 CABLE BLANC
CN10;3;40;CN8;3;39;PC;L10;EP2 CABLE VIOLET
CN10;3;40;CN2;8;22;PC;L10;EP2 CABLE MARRON
CN10;3;40;CN5;3;41;PC;L10;EP2 CABLE NOIR
CN10;3;40;CN3;3;42;PC;L10;EP2 CABLE VERT
CN11;1;26;CN2;2;16;PC;L11;CABLE ROSE
CN11;2;44;CN2;10;24;PC;L11;CABLE JAUNE VERT
