CONNECTEUR_A;VOIES_A;POINT_TEST_A;CONNECTEUR_B;VOIES_B;POINT_TEST_B;TYPE_TEST;POINT_LED_A;POINT_LED_B;COMMENTAIRE
CN1;1;20;CN3;2;13;PC;36;1;jaune
CN1;2;14;CN2;2;9;PC;38;1;vert
CN1;3;2;CN4;2;21;PC;34;1;BLANC
CN1;4;16;CN5;2;27;PC;48;1;NOIR
CN1;5;8;CN2;1;5;PC;38;1;EP1 ROSE NOIR
CN1;5;8;CN3;1;15;PC;36;1;EP1 ROSE BLANC
CN1;5;8;CN4;1;19;PC;34;1;EP1 ROSE VERT
CN1;5;8;CN5;1;23;PC;48;1;EP1 ROSE VIOLET
CN1;6;12;CN2;3;7;PC;38;1;EP2 ORANGE MARRON
CN1;6;12;CN3;3;11;PC;36;1;EP2 ORANGE VIOLET
CN1;6;12;CN4;3;17;PC;34;1;EP2 ORANGE BEIGE
CN1;6;12;CN5;3;25;PC;48;1;EP2 ORANGE JAUNE
AG0;1;22;AG0;2;24;PC;1;0;AGRAFE10V
AG6;1;1;AG6;2;3;PC;40;1;AGRAFE6
