CONNECTEUR_A;VOIES_A;POINT_TEST_A;CONNECTEUR_B;VOIES_B;POINT_TEST_B;TYPE_TEST;POINT_LED;COMMENTAIRE
CN1;1;1;CN2;1;20;PC;1;1A-10A
CN1;2;36;CN2;2;64;PC;2;18A-32A
CN1;3;35;CN2;3;53;PC;3;18C-27C
CN1;4;53;CN2;3;35;PC;3;27C-18C
