CONNECTEUR_A;VOIES_A;POINT_TEST_A;CONNECTEUR_B;VOIES_B;POINT_TEST_B;TYPE_TEST;POINT_LED;COMMENTAIRE
CN1;1;128;CN2;1;100;PC;1;ROUGE
CN2;2;84;CN2;2;66;PC;2;VERT
CN2;2;99;CN2;4;117;PC;3;bleu
CN2;2;99;CN3;1;127;PC;4;bleu

